scpCommand_content_1;scp copies files between hosts on a network. It uses ssh for data transfer, and uses the same authentication and provides the same security as ssh. scp will ask for passwords or passphrases if they are needed for authentication.;scp kopiuje pliki między hostami w sieci. Używa ssh do przesyłania danych i używa tego samego uwierzytelniania i zapewnia takie samo bezpieczeństwo jak ssh. scp poprosi o hasła lub frazy-hasła, jeśli są potrzebne do uwierzytelnienia.;;
scpCommand_content_2;Examples:;Przykłady:;;
scpCommand_content_3;Copy the file foobar.txt from a remote host to the local host:;Skopiuj plik foobar.txt ze zdalnego hosta na lokalny:;;
scpCommand_content_4;$ scp your_username@remotehost.edu:foobar.txt /some/local/directory;$ scp your_username@remotehost.edu:foobar.txt /some/local/directory;;
scpCommand_content_5;"Copy the file \""foobar.txt\"" from the local host to a remote host:";Skopiuj plik foobar.txt z lokalnego hosta na zdalny host:;;
scpCommand_content_6;$ scp foobar.txt your_username@remotehost.edu:/some/remote/directory;$ scp foobar.txt your_username@remotehost.edu:/some/remote/directory;;
mkdirCommand_title;mkdir command;Polecenie mkdir;;
mkdirCommand_content_1;The mkdir command creates one or more new directories specified by the Directory parameter.;Polecenie mkdir tworzy jeden lub więcej nowych katalogów określonych przez parametr Directory.;;
mkdirCommand_content_2;To create a new directory called Test in the current working directory, enter:;Aby utworzyć nowy katalog o nazwie Test w bieżącym katalogu roboczym, należy wywołać polecenie:;;
mkdirCommand_content_3;$ mkdir Test;$ mkdir Test;;
taskName_3_1;name 1;nazwa 1;;
taskContent_3_1;content 1;wartosc 1;;
taskName_3_2;name 2;nazwa 2;;
taskContent_3_2;content 2;wartosc 2;;
taskName_3_3;name 3;nazwa 3;;
taskContent_3_3;content 3;wartosc 3;;
taskName_3_4;name 4;nazwa 4;;
taskContent_3_4;content 4;wartosc 4;;
taskName_3_5;name 5;nazwa 5;;
taskContent_3_5;content 5;wartosc 5;;
